Name,Category,Arabic Name,Tagline EN,Tagline AR,Ingredients EN,Ingredients AR,Mood EN,Mood AR,Color Accent,Photo,Status,Sort Order
"Shamsan Fresh Bloom","Perfumes","منعش زهري نظيف","Light, clean, and perfect for everyday wear","خفيف ونظيف – مثالي للإرتداء اليومي","Jasmine, Lemon, White Musk","الياسمين، الليمون، المسك الأبيض","Light – mosque and work appropriate","خفيف – مناسب للمسجد والعمل","teal","","Published",1
"Shamsan Oud Royal","Perfumes","عطر عربي فاخر ثقيل","Bold, luxurious, and unmistakably masculine","قوي وفاخر – عطر رجولي لا يُنسى","Oud, Frankincense, White Musk","العود، اللبان، المسك الأبيض","Strong – luxurious – masculine","قوي – فخم – رجولي","brown","","Published",2
"Shamsan Velvet Vanilla","Perfumes","ناعم حلو وجذاب","Sweet, soft, and irresistibly feminine","حلو وناعم – أنثوي بامتياز","Warm Vanilla Sugar, Coconut Vanilla, White Musk","فانيليا دافئة، جوز الهند مع فانيليا، المسك الأبيض","Very feminine – warm and sweet","أنثوي جداً","pink","","Published",3
"Shamsan Rose Garden","Perfumes","وردي ناعم كلاسيكي","Elegant, timeless, and quietly beautiful","أنيق وكلاسيكي – جمال هادئ لا يُنسى","Rose, Cherry Blossom, White Musk","الورد، زهر الكرز، المسك الأبيض","Elegant – calm – timeless","أنيق – هادئ","red","","Published",4
"Shamsan Fruity Kiss","Perfumes","فاكهي شبابي منعش","Youthful, playful, and full of energy","شبابي ومرح – منعش وممتع","Strawberry, Blueberry, Vanilla","الفراولة، التوت، فانيليا","Very youthful – fun and fruity","شبابي جداً","orange","","Published",5
"Shamsan Citrus Energy","Perfumes","طاقة وانتعاش","Bright, fresh, and energizing for summer","منعش وحيوي – مثالي لأيام الصيف","Lemon, Sweet Orange, White Musk","الليمون، البرتقال الحلو، المسك الأبيض","Strong summer – citrus burst","صيفي قوي","yellow","","Published",6
"Shamsan Spiritual Oud","Perfumes","روحاني للمسجد","Calm, sacred, and perfect for the mosque","هادئ وروحاني – مثالي للمسجد وأوقات التأمل","Oud, Frankincense, Rose","العود، اللبان، الورد","Calm + reverence – spiritual","هدوء + خشوع","green","","Published",7
"Shamsan Coffee Mood","Perfumes","عطر دافئ مميز","Warm, unique, and wonderfully different","دافئ ومميز – لمن يحب التميز في الشتاء","Coffee, Vanilla, White Musk","قهوة، فانيليا، المسك الأبيض","Winter warmth – uniquely different","شتوي – مختلف","brown","","Published",8
"Shamsan Floral Luxury","Perfumes","زهور فاخرة","Rich florals with a touch of pure elegance","زهور فاخرة بلمسة من الرقي الخالص","Jasmine, Magnolia, Vanilla","الياسمين، ماغنوليا، فانيليا","Very refined – floral luxury","راقي جداً","blue","","Published",9
"Shamsan Tropical Dream","Perfumes","استوائي منعش","Fun, exotic, and bursting with tropical vibes","مرح واستوائي – ينقلك إلى عالم من المتعة","Passion Fruit, Coconut Vanilla, White Musk","فاكهة العاطفة، جوز الهند مع فانيليا، المسك الأبيض","Fun – summer – attractively tropical","مرح – صيفي – جذاب","orange","","Published",10
